sales_id,customer_id ,product_id,sale_date,quantity,price,total_amount
US-2012-150630,TB-21520,OFF-EN-10001509,9/17/2012,2,3.264,6.528
US-2012-150630,TB-21520,OFF-AR-10004042,9/17/2012,6,86.304,517.824
US-2012-150630,TB-21520,OFF-BI-10001525,9/17/2012,6,6.858,41.148
US-2012-150630,TB-21520,OFF-AR-10001683,9/17/2012,2,15.76,31.52
CA-2014-107727,MA-17560,OFF-PA-10000249,10/20/2014,3,29.472,88.416
CA-2013-117590,GH-14485,TEC-PH-10004977,12/9/2013,7,1097.544,7682.808
CA-2013-117590,GH-14485,FUR-FU-10003664,12/9/2013,5,190.92,954.6
CA-2012-117415,SN-20710,OFF-EN-10002986,12/27/2012,9,113.328,1019.952
CA-2012-117415,SN-20710,FUR-BO-10002545,12/27/2012,3,532.3992,1597.1976
CA-2012-117415,SN-20710,FUR-CH-10004218,12/27/2012,3,212.058,636.174
CA-2012-117415,SN-20710,TEC-PH-10000486,12/27/2012,4,371.168,1484.672
CA-2014-120999,LC-16930,TEC-PH-10004093,9/11/2014,4,147.168,588.672
CA-2013-101343,RA-19885,OFF-ST-10003479,7/18/2013,2,77.88,155.76
CA-2014-139619,ES-14080,OFF-ST-10003282,9/20/2014,2,95.616,191.232
CA-2013-118255,ON-18715,TEC-AC-10000171,3/12/2013,2,45.98,91.96
CA-2013-118255,ON-18715,OFF-BI-10003291,3/12/2013,2,17.46,34.92
CA-2011-146703,PO-18865,OFF-ST-10001713,10/20/2011,4,211.96,847.84
CA-2013-169194,LH-16900,TEC-AC-10002167,6/21/2013,3,45,135
CA-2013-169194,LH-16900,TEC-PH-10003988,6/21/2013,2,21.8,43.6
CA-2012-115742,DP-13000,OFF-BI-10004410,4/18/2012,6,38.22,229.32
CA-2012-115742,DP-13000,OFF-LA-10002762,4/18/2012,6,75.18,451.08
CA-2012-115742,DP-13000,FUR-FU-10001706,4/18/2012,2,6.16,12.32
CA-2012-115742,DP-13000,FUR-CH-10003061,4/18/2012,1,89.99,89.99
CA-2013-105816,JM-15265,OFF-FA-10000304,12/12/2013,7,15.26,106.82
CA-2013-105816,JM-15265,TEC-PH-10002447,12/12/2013,5,1029.95,5149.75
CA-2013-111682,TB-21055,OFF-ST-10000604,6/18/2013,6,208.56,1251.36
CA-2013-111682,TB-21055,OFF-PA-10001569,6/18/2013,5,32.4,162
CA-2013-111682,TB-21055,FUR-CH-10003968,6/18/2013,5,319.41,1597.05
CA-2013-111682,TB-21055,OFF-PA-10000587,6/18/2013,2,14.56,29.12
CA-2013-111682,TB-21055,TEC-AC-10002167,6/18/2013,2,30,60
CA-2013-111682,TB-21055,OFF-BI-10001460,6/18/2013,4,48.48,193.92
CA-2013-111682,TB-21055,OFF-AR-10001868,6/18/2013,1,1.68,1.68
CA-2012-135545,KM-16720,TEC-AC-10004633,11/24/2012,2,13.98,27.96
CA-2012-135545,KM-16720,OFF-BI-10001078,11/24/2012,6,25.824,154.944
CA-2012-135545,KM-16720,OFF-PA-10003892,11/24/2012,3,146.73,440.19
CA-2012-135545,KM-16720,FUR-FU-10000397,11/24/2012,4,79.76,319.04
US-2012-164175,PS-18970,FUR-CH-10001146,4/30/2012,5,213.115,1065.575
CA-2011-106376,BS-11590,OFF-AR-10002671,12/5/2011,8,1113.024,8904.192
CA-2011-106376,BS-11590,TEC-PH-10002726,12/5/2011,4,167.968,671.872
CA-2013-119823,KD-16270,OFF-PA-10000482,6/5/2013,2,75.88,151.76
CA-2013-106075,HM-14980,OFF-BI-10004654,9/19/2013,1,4.616,4.616
CA-2014-114440,TB-21520,OFF-PA-10004675,9/15/2014,3,19.05,57.15
US-2012-134026,JE-15745,FUR-CH-10000513,4/26/2012,8,831.936,6655.488
US-2012-134026,JE-15745,FUR-FU-10003708,4/26/2012,2,97.04,194.08
US-2012-134026,JE-15745,OFF-ST-10004123,4/26/2012,1,72.784,72.784
US-2014-118038,KB-16600,OFF-BI-10004182,12/10/2014,3,1.248,3.744
US-2014-118038,KB-16600,FUR-FU-10000260,12/10/2014,3,9.708,29.124
US-2014-118038,KB-16600,OFF-ST-10000615,12/10/2014,3,27.24,81.72
US-2011-147606,JE-15745,FUR-FU-10003194,11/26/2011,5,19.3,96.5
CA-2013-127208,SC-20770,OFF-AP-10002118,6/13/2013,1,208.16,208.16
CA-2013-127208,SC-20770,OFF-BI-10002309,6/13/2013,3,16.74,50.22
CA-2011-139451,DN-13690,OFF-AR-10002053,10/12/2011,5,14.9,74.5
CA-2011-139451,DN-13690,OFF-ST-10002370,10/12/2011,1,21.39,21.39
CA-2012-149734,JC-16105,OFF-EN-10000927,9/3/2012,7,200.984,1406.888
US-2014-119662,CS-12400,OFF-ST-10003656,11/14/2014,3,230.376,691.128
CA-2014-140088,PO-18865,FUR-CH-10000863,5/29/2014,2,301.96,603.92
CA-2014-155558,PG-18895,TEC-AC-10001998,10/27/2014,1,19.99,19.99
CA-2014-155558,PG-18895,OFF-LA-10000134,10/27/2014,2,6.16,12.32
CA-2013-159695,GM-14455,OFF-ST-10003442,4/6/2013,7,158.368,1108.576
CA-2013-109806,JS-15685,OFF-AR-10004930,9/18/2013,3,20.1,60.3
CA-2013-109806,JS-15685,TEC-PH-10004093,9/18/2013,2,73.584,147.168
CA-2013-109806,JS-15685,OFF-PA-10000304,9/18/2013,1,6.48,6.48
CA-2012-149587,KB-16315,OFF-PA-10003177,1/31/2012,2,12.96,25.92
CA-2012-149587,KB-16315,FUR-FU-10003799,1/31/2012,3,53.34,160.02
CA-2012-149587,KB-16315,OFF-BI-10002852,1/31/2012,2,32.96,65.92
US-2014-109484,RB-19705,OFF-BI-10004738,11/7/2014,1,5.682,5.682
CA-2014-161018,PN-18775,FUR-FU-10000629,11/10/2014,7,96.53,675.71
CA-2014-157833,KD-16345,OFF-BI-10001721,6/18/2014,3,51.312,153.936
CA-2013-149223,ER-13855,OFF-AP-10000358,9/7/2013,6,77.88,467.28
CA-2013-158568,RB-19465,OFF-PA-10003256,8/30/2013,7,64.624,452.368
CA-2013-158568,RB-19465,TEC-AC-10001767,8/30/2013,3,95.976,287.928
CA-2013-158568,RB-19465,OFF-BI-10002609,8/30/2013,3,1.788,5.364
CA-2013-129903,GZ-14470,OFF-PA-10004040,12/2/2013,4,23.92,95.68
US-2012-156867,LC-16870,TEC-AC-10001552,11/13/2012,6,238.896,1433.376
US-2012-156867,LC-16870,FUR-FU-10004006,11/13/2012,3,102.36,307.08
US-2012-156867,LC-16870,OFF-BI-10002794,11/13/2012,3,36.882,110.646
CA-2014-119004,JM-15250,TEC-AC-10003499,11/24/2014,8,74.112,592.896
CA-2014-119004,JM-15250,TEC-PH-10002844,11/24/2014,1,27.992,27.992
CA-2014-119004,JM-15250,OFF-AR-10000390,11/24/2014,1,3.304,3.304
CA-2012-129476,PA-19060,TEC-AC-10000844,10/15/2012,5,339.96,1699.8
CA-2014-146780,CV-12805,FUR-FU-10001934,12/26/2014,2,41.96,83.92
CA-2013-128867,CL-12565,OFF-AR-10000380,11/4/2013,2,75.96,151.92
CA-2013-128867,CL-12565,OFF-BI-10003981,11/4/2013,6,27.24,163.44
CA-2011-115259,RC-19960,OFF-FA-10000621,8/25/2011,14,40.096,561.344
CA-2011-115259,RC-19960,OFF-EN-10002600,8/25/2011,2,4.72,9.44
CA-2011-115259,RC-19960,OFF-PA-10004965,8/25/2011,3,23.976,71.928
CA-2011-115259,RC-19960,OFF-EN-10002504,8/25/2011,6,130.464,782.784
CA-2012-110457,DK-13090,FUR-TA-10001768,3/2/2012,3,787.53,2362.59
US-2012-136476,GG-14650,OFF-BI-10003650,4/5/2012,1,157.794,157.794
CA-2013-103730,SC-20725,FUR-FU-10002157,6/13/2013,3,47.04,141.12
CA-2013-103730,SC-20725,OFF-BI-10003910,6/13/2013,4,30.84,123.36
CA-2013-103730,SC-20725,OFF-ST-10000777,6/13/2013,6,226.56,1359.36
CA-2013-103730,SC-20725,OFF-EN-10002500,6/13/2013,9,115.02,1035.18
CA-2013-103730,SC-20725,TEC-PH-10003875,6/13/2013,7,68.04,476.28
US-2011-152030,AD-10180,FUR-CH-10004063,12/26/2011,3,600.558,1801.674
US-2011-134614,PF-19165,FUR-TA-10004534,9/20/2011,6,617.7,3706.2
US-2014-107272,TS-21610,OFF-BI-10003274,11/6/2014,2,2.388,4.776
US-2014-107272,TS-21610,OFF-ST-10002974,11/6/2014,7,243.992,1707.944
US-2013-125969,LS-16975,FUR-CH-10001146,11/7/2013,2,81.424,162.848
US-2013-125969,LS-16975,FUR-FU-10003773,11/7/2013,3,238.56,715.68
US-2014-164147,DW-13585,TEC-PH-10002293,2/3/2014,5,59.97,299.85
US-2014-164147,DW-13585,OFF-PA-10002377,2/3/2014,2,78.304,156.608
US-2014-164147,DW-13585,OFF-FA-10002780,2/3/2014,9,21.456,193.104
CA-2013-145583,LC-16885,OFF-PA-10001804,10/14/2013,3,20.04,60.12
CA-2013-145583,LC-16885,OFF-PA-10001736,10/14/2013,1,35.44,35.44
CA-2013-145583,LC-16885,OFF-AR-10001149,10/14/2013,4,11.52,46.08
CA-2013-145583,LC-16885,OFF-FA-10002988,10/14/2013,2,4.02,8.04
CA-2013-145583,LC-16885,OFF-BI-10004781,10/14/2013,3,76.176,228.528
CA-2013-145583,LC-16885,OFF-SU-10001218,10/14/2013,6,65.88,395.28
CA-2013-145583,LC-16885,FUR-FU-10001706,10/14/2013,14,43.12,603.68
CA-2013-110366,JD-15895,FUR-FU-10004848,9/6/2013,2,82.8,165.6
CA-2014-106180,SH-19975,OFF-AR-10000940,9/19/2014,3,8.82,26.46
CA-2014-106180,SH-19975,OFF-EN-10004030,9/19/2014,3,10.86,32.58
CA-2014-106180,SH-19975,OFF-PA-10004327,9/19/2014,3,143.7,431.1
CA-2014-155376,SG-20080,OFF-AP-10001058,12/23/2014,3,839.43,2518.29
CA-2012-110744,HA-14920,OFF-ST-10003656,9/7/2012,7,671.93,4703.51
CA-2011-110072,MG-17680,FUR-FU-10000521,10/22/2011,4,93.888,375.552
CA-2013-114489,JE-16165,TEC-PH-10000215,12/6/2013,11,384.45,4228.95
CA-2013-114489,JE-16165,TEC-PH-10001448,12/6/2013,3,149.97,449.91
CA-2013-114489,JE-16165,FUR-CH-10000454,12/6/2013,8,1951.84,15614.72
CA-2013-114489,JE-16165,OFF-BI-10002735,12/6/2013,5,171.55,857.75
CA-2013-158834,TW-21025,OFF-AP-10000326,3/14/2013,5,157.92,789.6
CA-2013-158834,TW-21025,TEC-PH-10001254,3/14/2013,2,203.184,406.368
CA-2012-124919,SP-20650,OFF-PA-10001950,5/31/2012,7,58.38,408.66
CA-2012-124919,SP-20650,OFF-PA-10002254,5/31/2012,4,105.52,422.08
CA-2012-124919,SP-20650,OFF-ST-10001590,5/31/2012,6,80.88,485.28
CA-2012-118948,NK-18490,OFF-AR-10001547,5/28/2012,3,6.63,19.89
CA-2011-104269,DB-13060,FUR-CH-10004063,3/1/2011,2,457.568,915.136
CA-2013-114104,NP-18670,OFF-LA-10002475,11/21/2013,2,14.62,29.24
CA-2013-114104,NP-18670,TEC-PH-10004536,11/21/2013,7,944.93,6614.51
CA-2013-162733,TT-21070,OFF-PA-10002751,5/12/2013,1,5.98,5.98
CA-2012-119697,EM-13960,TEC-AC-10003657,12/28/2012,2,54.384,108.768
CA-2013-154508,RD-19900,OFF-EN-10001990,11/17/2013,5,28.4,142
CA-2013-113817,MJ-17740,OFF-BI-10004002,11/8/2013,2,27.68,55.36
CA-2011-139892,BM-11140,OFF-AR-10004441,9/8/2011,3,9.936,29.808
CA-2011-139892,BM-11140,TEC-MA-10000822,9/8/2011,8,8159.952,65279.616
CA-2011-139892,BM-11140,OFF-ST-10000991,9/8/2011,3,275.928,827.784
CA-2011-139892,BM-11140,FUR-CH-10004287,9/8/2011,9,1740.06,15660.54
CA-2011-139892,BM-11140,OFF-AR-10002656,9/8/2011,6,32.064,192.384
CA-2011-139892,BM-11140,OFF-AP-10002518,9/8/2011,5,177.98,889.9
CA-2011-139892,BM-11140,TEC-PH-10003931,9/8/2011,3,143.976,431.928
CA-2011-118962,CS-12130,OFF-PA-10000659,8/5/2011,3,20.94,62.82
CA-2011-118962,CS-12130,OFF-PA-10001144,8/5/2011,2,110.96,221.92
CA-2011-118962,CS-12130,FUR-CH-10003817,8/5/2011,7,340.144,2381.008
US-2011-100853,JB-15400,OFF-AP-10000891,9/14/2011,2,52.448,104.896
US-2011-100853,JB-15400,OFF-LA-10003148,9/14/2011,4,20.16,80.64
US-2014-152366,SJ-20500,OFF-AP-10002684,4/22/2014,4,97.264,389.056
US-2012-101511,JE-15745,FUR-CH-10004698,11/21/2012,7,396.802,2777.614
US-2012-101511,JE-15745,OFF-SU-10002189,11/21/2012,5,15.88,79.4
CA-2012-137225,JK-15640,OFF-AR-10001940,12/15/2012,1,3.28,3.28
CA-2011-166191,DK-13150,OFF-ST-10003455,12/5/2011,2,24.816,49.632
CA-2011-166191,DK-13150,TEC-AC-10004659,12/5/2011,7,408.744,2861.208
CA-2011-158274,RM-19675,TEC-PH-10003273,11/19/2011,4,503.96,2015.84
CA-2011-158274,RM-19675,TEC-PH-10004896,11/19/2011,5,149.95,749.75
CA-2011-158274,RM-19675,TEC-AC-10002345,11/19/2011,2,29,58
CA-2013-105018,SK-19990,OFF-BI-10001890,11/29/2013,2,7.16,14.32
CA-2011-123260,FM-14290,TEC-AC-10002323,8/26/2011,8,176.8,1414.4
CA-2013-157000,AM-10360,OFF-ST-10001328,7/17/2013,3,37.224,111.672
CA-2013-157000,AM-10360,OFF-PA-10001950,7/17/2013,3,20.016,60.048
CA-2012-102281,MP-17470,FUR-BO-10002613,10/12/2012,4,899.136,3596.544
CA-2012-102281,MP-17470,TEC-PH-10001552,10/12/2012,6,71.76,430.56
CA-2012-102281,MP-17470,OFF-PA-10000061,10/12/2012,8,51.84,414.72
CA-2012-102281,MP-17470,FUR-BO-10002545,10/12/2012,3,626.352,1879.056
CA-2012-102281,MP-17470,OFF-AR-10003514,10/12/2012,5,19.9,99.5
CA-2012-131457,MZ-17515,OFF-EN-10001509,10/31/2012,7,14.28,99.96
CA-2011-140004,CB-12025,OFF-AR-10004685,3/21/2011,2,7.408,14.816
CA-2011-140004,CB-12025,OFF-AR-10004027,3/21/2011,3,6.048,18.144
CA-2014-107720,VM-21685,OFF-ST-10001414,11/7/2014,3,46.26,138.78
US-2014-124303,FH-14365,OFF-BI-10000343,7/7/2014,2,2.946,5.892
US-2014-124303,FH-14365,OFF-PA-10002749,7/7/2014,3,16.056,48.168
CA-2014-105074,MB-17305,OFF-PA-10002666,6/25/2014,3,21.744,65.232
CA-2011-133690,BS-11755,FUR-TA-10004289,8/3/2011,2,218.75,437.5
CA-2011-133690,BS-11755,OFF-AP-10003622,8/3/2011,1,2.6,2.6
US-2014-116701,LC-17140,OFF-AP-10003217,12/18/2014,2,66.284,132.568
CA-2014-126382,HK-14890,FUR-FU-10002960,6/4/2014,7,35.168,246.176
CA-2014-108329,LE-16810,TEC-PH-10001918,12/10/2014,4,444.768,1779.072
CA-2014-135860,JH-15985,OFF-ST-10000642,12/2/2014,4,83.92,335.68
CA-2014-135860,JH-15985,TEC-PH-10001700,12/2/2014,2,131.98,263.96
CA-2014-135860,JH-15985,OFF-BI-10003274,12/2/2014,4,15.92,63.68
CA-2014-135860,JH-15985,OFF-FA-10000134,12/2/2014,9,52.29,470.61
CA-2014-135860,JH-15985,OFF-ST-10001522,12/2/2014,1,91.99,91.99
CA-2012-101007,MS-17980,TEC-AC-10001266,2/9/2012,2,20.8,41.6
CA-2012-146262,VW-21775,OFF-LA-10004544,1/2/2012,2,23.68,47.36
CA-2012-146262,VW-21775,FUR-BO-10004695,1/2/2012,5,452.45,2262.25
CA-2012-146262,VW-21775,TEC-PH-10002844,1/2/2012,3,62.982,188.946
CA-2012-146262,VW-21775,TEC-MA-10000864,1/2/2012,9,1188,10692
CA-2012-146262,VW-21775,TEC-AC-10000109,1/2/2012,2,89.584,179.168
CA-2013-130162,JH-15910,OFF-ST-10001328,10/29/2013,6,93.06,558.36
CA-2013-130162,JH-15910,TEC-PH-10002563,10/29/2013,3,302.376,907.128
CA-2012-169397,JB-15925,OFF-FA-10000585,12/24/2012,2,5.584,11.168
CA-2012-169397,JB-15925,OFF-PA-10004000,12/24/2012,6,22.704,136.224
CA-2012-169397,JB-15925,OFF-BI-10002852,12/24/2012,4,19.776,79.104
CA-2012-169397,JB-15925,FUR-FU-10000087,12/24/2012,4,72.704,290.816
CA-2012-169397,JB-15925,TEC-MA-10001148,12/24/2012,4,479.988,1919.952
CA-2012-169397,JB-15925,OFF-AR-10001958,12/24/2012,2,27.168,54.336
CA-2012-163055,DS-13180,OFF-AR-10001026,8/9/2012,1,2.2,2.2
CA-2012-163055,DS-13180,FUR-TA-10003748,8/9/2012,5,622.45,3112.25
CA-2012-163055,DS-13180,OFF-ST-10002485,8/9/2012,1,21.98,21.98
US-2012-145436,VD-21670,FUR-CH-10004860,2/28/2012,2,161.568,323.136
US-2012-145436,VD-21670,FUR-CH-10004477,2/28/2012,8,389.696,3117.568
US-2011-156216,EA-14035,OFF-BI-10001679,9/13/2011,7,18.648,130.536
US-2014-100930,CS-12400,FUR-TA-10001705,4/8/2014,2,233.86,467.72
US-2014-100930,CS-12400,FUR-TA-10003473,4/8/2014,3,620.6145,1861.8435
US-2014-100930,CS-12400,OFF-BI-10001679,4/8/2014,2,5.328,10.656
US-2014-100930,CS-12400,FUR-FU-10004017,4/8/2014,3,258.072,774.216
US-2014-100930,CS-12400,TEC-AC-10003832,4/8/2014,3,617.976,1853.928
CA-2014-160514,DB-13120,OFF-PA-10002479,11/13/2014,2,10.56,21.12
CA-2013-157749,KL-16645,OFF-PA-10003349,6/5/2013,5,25.92,129.6
CA-2013-157749,KL-16645,FUR-FU-10000576,6/5/2013,5,419.68,2098.4
CA-2013-157749,KL-16645,FUR-FU-10004351,6/5/2013,3,11.688,35.064
CA-2013-157749,KL-16645,TEC-PH-10000011,6/5/2013,2,31.984,63.968
CA-2013-157749,KL-16645,FUR-TA-10002607,6/5/2013,5,177.225,886.125
CA-2013-157749,KL-16645,FUR-FU-10002505,6/5/2013,3,4.044,12.132
CA-2013-157749,KL-16645,OFF-AR-10004685,6/5/2013,2,7.408,14.816
CA-2011-131926,DW-13480,FUR-CH-10004063,6/1/2011,7,2001.86,14013.02
CA-2011-131926,DW-13480,OFF-ST-10002276,6/1/2011,2,166.72,333.44
CA-2011-131926,DW-13480,OFF-PA-10004082,6/1/2011,6,47.88,287.28
CA-2011-131926,DW-13480,OFF-AP-10002945,6/1/2011,5,1503.25,7516.25
CA-2011-131926,DW-13480,OFF-PA-10000061,6/1/2011,4,25.92,103.68
CA-2013-154739,LH-17155,FUR-CH-10002965,12/11/2013,2,321.568,643.136
CA-2013-145625,KC-16540,OFF-PA-10004569,9/12/2013,1,7.61,7.61
CA-2013-145625,KC-16540,TEC-AC-10003832,9/12/2013,13,3347.37,43515.81
CA-2013-146941,DL-13315,OFF-ST-10001228,12/11/2013,6,80.58,483.48
CA-2013-146941,DL-13315,OFF-EN-10003296,12/11/2013,4,361.92,1447.68
US-2012-159982,DR-12880,FUR-FU-10002505,11/28/2012,9,12.132,109.188
US-2012-159982,DR-12880,OFF-ST-10004804,11/28/2012,2,82.368,164.736
US-2012-159982,DR-12880,OFF-ST-10001590,11/28/2012,5,53.92,269.6
US-2012-159982,DR-12880,TEC-PH-10001580,11/28/2012,6,647.904,3887.424
CA-2014-163139,CC-12670,TEC-AC-10000290,12/2/2014,3,20.37,61.11
CA-2014-163139,CC-12670,OFF-ST-10002790,12/2/2014,3,221.55,664.65
CA-2014-163139,CC-12670,OFF-BI-10003460,12/2/2014,5,17.52,87.6
US-2014-155299,Dl-13600,OFF-AP-10002203,6/9/2014,2,1.624,3.248
US-2011-106992,SB-20290,TEC-MA-10000822,9/19/2011,3,3059.982,9179.946
US-2011-106992,SB-20290,TEC-MA-10003353,9/19/2011,7,2519.958,17639.706
CA-2013-125318,RC-19825,TEC-PH-10001433,6/7/2013,4,328.224,1312.896
CA-2012-155040,AH-10210,TEC-AC-10004469,11/10/2012,2,79.9,159.8
CA-2014-136826,CB-12535,OFF-AR-10003602,6/17/2014,3,14.016,42.048
CA-2013-111010,PG-18895,OFF-FA-10003472,1/22/2013,6,7.56,45.36
US-2014-145366,CA-12310,OFF-ST-10004180,12/10/2014,1,37.208,37.208
US-2014-145366,CA-12310,OFF-EN-10004386,12/10/2014,3,57.576,172.728
CA-2014-163979,KH-16690,OFF-ST-10003208,12/29/2014,4,725.84,2903.36
CA-2012-155334,HA-14920,TEC-AC-10003628,7/30/2012,7,209.93,1469.51
CA-2012-155334,HA-14920,FUR-FU-10003274,7/30/2012,3,5.28,15.84
CA-2012-155334,HA-14920,OFF-BI-10002557,7/30/2012,3,10.92,32.76
CA-2014-118136,BB-10990,OFF-PA-10002615,9/17/2014,2,8.82,17.64
CA-2014-118136,BB-10990,OFF-AR-10001427,9/17/2014,1,5.98,5.98
CA-2014-132976,AG-10495,OFF-PA-10000673,10/14/2014,2,11.648,23.296
CA-2014-132976,AG-10495,OFF-PA-10004470,10/14/2014,4,18.176,72.704
CA-2014-132976,AG-10495,OFF-ST-10000876,10/14/2014,6,59.712,358.272
CA-2014-132976,AG-10495,OFF-LA-10002043,10/14/2014,3,24.84,74.52
US-2012-161991,SC-20725,OFF-BI-10004967,9/26/2012,5,2.08,10.4
US-2012-161991,SC-20725,TEC-PH-10001760,9/26/2012,7,1114.4,7800.8
CA-2012-130890,JO-15280,FUR-TA-10002903,11/2/2012,5,1038.84,5194.2
CA-2012-130883,TB-21520,OFF-PA-10000474,9/26/2012,5,141.76,708.8
CA-2012-130883,TB-21520,TEC-AC-10001956,9/26/2012,5,239.8,1199
CA-2012-130883,TB-21520,OFF-PA-10004100,9/26/2012,6,31.104,186.624
CA-2013-112697,AH-10195,OFF-BI-10000778,12/19/2013,7,254.058,1778.406
CA-2013-112697,AH-10195,OFF-AP-10002684,12/19/2013,2,194.528,389.056
CA-2013-112697,AH-10195,OFF-SU-10000646,12/19/2013,5,961.48,4807.4
CA-2013-110772,NZ-18565,OFF-FA-10002983,11/21/2013,7,19.096,133.672
CA-2013-110772,NZ-18565,OFF-LA-10004689,11/21/2013,8,18.496,147.968
CA-2013-110772,NZ-18565,TEC-AC-10002001,11/21/2013,2,255.984,511.968
CA-2013-110772,NZ-18565,FUR-BO-10004709,11/21/2013,3,86.97,260.91
CA-2011-111451,KL-16555,FUR-FU-10004091,12/26/2011,8,300.416,2403.328
CA-2011-111451,KL-16555,FUR-CH-10001891,12/26/2011,3,230.352,691.056
CA-2011-111451,KL-16555,FUR-FU-10002918,12/26/2011,3,218.352,655.056
CA-2011-111451,KL-16555,OFF-BI-10004593,12/26/2011,5,78.6,393
CA-2011-111451,KL-16555,OFF-FA-10004854,12/26/2011,3,27.552,82.656
CA-2013-142545,JD-15895,OFF-PA-10002105,10/29/2013,5,32.4,162
CA-2013-142545,JD-15895,OFF-ST-10002756,10/29/2013,8,1082.48,8659.84
CA-2013-142545,JD-15895,OFF-PA-10004243,10/29/2013,3,56.91,170.73
CA-2013-142545,JD-15895,FUR-FU-10001861,10/29/2013,4,77.6,310.4
CA-2013-142545,JD-15895,OFF-BI-10002706,10/29/2013,1,14.28,14.28
US-2014-152380,JH-15910,FUR-TA-10002533,11/20/2014,3,219.075,657.225
CA-2012-144253,AS-10225,FUR-FU-10002671,5/4/2012,2,26.8,53.6
CA-2011-130960,KB-16600,OFF-AR-10003651,12/30/2011,3,9.84,29.52
CA-2011-111003,CR-12625,OFF-BI-10001072,6/1/2011,3,45.48,136.44
CA-2011-111003,CR-12625,OFF-AR-10002135,6/1/2011,6,289.2,1735.2
CA-2014-126774,SH-20395,OFF-AR-10002804,4/16/2014,1,4.89,4.89
CA-2013-142902,BP-11185,FUR-FU-10001918,9/13/2013,4,15.136,60.544
CA-2013-142902,BP-11185,FUR-CH-10004086,9/13/2013,2,466.768,933.536
CA-2013-142902,BP-11185,FUR-FU-10001756,9/13/2013,1,15.232,15.232
CA-2013-142902,BP-11185,OFF-LA-10000634,9/13/2013,3,6.264,18.792
CA-2011-120887,TS-21205,FUR-FU-10001588,9/27/2011,3,87.54,262.62
CA-2011-167850,AG-10525,TEC-PH-10002398,8/9/2011,2,178.384,356.768
CA-2011-167850,AG-10525,OFF-PA-10001937,8/9/2011,3,15.552,46.656
CA-2011-164259,SP-20860,OFF-AR-10003373,12/28/2011,4,99.136,396.544
CA-2011-164973,NM-18445,FUR-CH-10002602,11/4/2011,1,135.882,135.882
CA-2011-164973,NM-18445,TEC-MA-10002927,11/4/2011,2,3991.98,7983.96
CA-2011-164973,NM-18445,TEC-PH-10004093,11/4/2011,6,275.94,1655.64
CA-2011-164973,NM-18445,TEC-AC-10000892,11/4/2011,4,360,1440
CA-2011-164973,NM-18445,OFF-ST-10002974,11/4/2011,1,43.57,43.57
CA-2011-156601,FA-14230,OFF-FA-10000624,9/19/2011,2,7.16,14.32
