product_id,product_name,product_category,price
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,124.2
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,3.264
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,86.304
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,6.858
OFF-AR-10001683,Lumber Crayons,Office Supplies,15.76
OFF-PA-10000249,Staples,Office Supplies,29.472
TEC-PH-10004977,GE 30524EE4,Technology,1097.544
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,190.92
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,113.328
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,532.3992
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,212.058
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,371.168
TEC-PH-10004093,Panasonic Kx-TS550,Technology,147.168
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,77.88
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,95.616
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,45.98
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,17.46
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,211.96
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,45
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,21.8
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,38.22
OFF-LA-10002762,Avery 485,Office Supplies,75.18
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,6.16
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,89.99
OFF-FA-10000304,Advantus Push Pins,Office Supplies,15.26
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,1029.95
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,208.56
OFF-PA-10001569,Xerox 232,Office Supplies,32.4
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,319.41
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,14.56
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,30
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,48.48
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,1.68
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,13.98
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,25.824
OFF-PA-10003892,Xerox 1943,Office Supplies,146.73
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,79.76
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,213.115
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,1113.024
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,167.968
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,75.88
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,4.616
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,19.05
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,831.936
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,97.04
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,72.784
OFF-BI-10004182,Economy Binders,Office Supplies,1.248
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,9.708
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,27.24
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,19.3
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,208.16
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,16.74
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,14.9
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,21.39
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,200.984
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,230.376
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,301.96
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,19.99
OFF-LA-10000134,Avery 511,Office Supplies,6.16
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,158.368
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,20.1
TEC-PH-10004093,Panasonic Kx-TS550,Technology,73.584
OFF-PA-10000304,Xerox 1995,Office Supplies,6.48
OFF-PA-10003177,Xerox 1999,Office Supplies,12.96
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,53.34
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,32.96
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,5.682
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,96.53
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,51.312
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,77.88
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,64.624
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,95.976
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,1.788
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,23.92
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,238.896
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,102.36
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,36.882
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,74.112
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,27.992
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,3.304
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,339.96
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,41.96
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,75.96
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,27.24
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,40.096
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,4.72
OFF-PA-10004965,Xerox 1921,Office Supplies,23.976
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,130.464
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,787.53
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,157.794
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,47.04
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,30.84
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,226.56
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,115.02
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,68.04
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,600.558
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,617.7
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,2.388
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,243.992
FUR-CH-10001146,"Global Task Chair, Black",Furniture,81.424
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,238.56
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,59.97
OFF-PA-10002377,Xerox 1916,Office Supplies,78.304
OFF-FA-10002780,Staples,Office Supplies,21.456
OFF-PA-10001804,Xerox 195,Office Supplies,20.04
OFF-PA-10001736,Xerox 1880,Office Supplies,35.44
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,11.52
OFF-FA-10002988,Ideal Clamps,Office Supplies,4.02
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,76.176
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,65.88
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,43.12
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,82.8
OFF-AR-10000940,Newell 343,Office Supplies,8.82
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,10.86
OFF-PA-10004327,Xerox 1911,Office Supplies,143.7
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,839.43
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,671.93
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,93.888
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,384.45
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,149.97
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,1951.84
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,171.55
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,157.92
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,203.184
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,58.38
OFF-PA-10002254,Xerox 1883,Office Supplies,105.52
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,80.88
OFF-AR-10001547,Newell 311,Office Supplies,6.63
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,457.568
OFF-LA-10002475,Avery 519,Office Supplies,14.62
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,944.93
OFF-PA-10002751,Xerox 1920,Office Supplies,5.98
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,54.384
OFF-EN-10001990,Staples,Office Supplies,28.4
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,27.68
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,9.936
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,8159.952
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,275.928
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,1740.06
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,32.064
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,177.98
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,143.976
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,20.94
OFF-PA-10001144,Xerox 1913,Office Supplies,110.96
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,340.144
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,52.448
OFF-LA-10003148,Avery 51,Office Supplies,20.16
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,97.264
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,396.802
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,15.88
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,3.28
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,24.816
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,408.744
TEC-PH-10003273,AT&T TR1909W,Technology,503.96
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,149.95
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,29
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,7.16
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,176.8
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,37.224
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,20.016
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,899.136
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,71.76
OFF-PA-10000061,Xerox 205,Office Supplies,51.84
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,626.352
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,19.9
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,14.28
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,7.408
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,6.048
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,46.26
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,2.946
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,16.056
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,21.744
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,218.75
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,2.6
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,66.284
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,35.168
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,444.768
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,83.92
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,131.98
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,15.92
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,52.29
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,91.99
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,20.8
OFF-LA-10004544,Avery 505,Office Supplies,23.68
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,452.45
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,62.982
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,1188
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,89.584
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,93.06
TEC-PH-10002563,Adtran 1202752G1,Technology,302.376
OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Office Supplies,5.584
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,22.704
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,19.776
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,72.704
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,479.988
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,27.168
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,2.2
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,622.45
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,21.98
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,161.568
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,389.696
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,18.648
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,233.86
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,620.6145
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,5.328
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,258.072
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,617.976
OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,10.56
OFF-PA-10003349,Xerox 1957,Office Supplies,25.92
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,419.68
FUR-FU-10004351,Staples,Furniture,11.688
TEC-PH-10000011,PureGear Roll-On Screen Protector,Technology,31.984
FUR-TA-10002607,KI Conference Tables,Furniture,177.225
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,4.044
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,7.408
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,2001.86
OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,166.72
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,47.88
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,1503.25
OFF-PA-10000061,Xerox 205,Office Supplies,25.92
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,321.568
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,7.61
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,3347.37
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,80.58
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,361.92
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,12.132
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,82.368
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,53.92
TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Technology,647.904
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,20.37
OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,221.55
OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,17.52
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,1.624
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,3059.982
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,2519.958
TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Technology,328.224
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,79.9
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,14.016
OFF-FA-10003472,Bagged Rubber Bands,Office Supplies,7.56
OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,37.208
OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,57.576
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,725.84
TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,209.93
FUR-FU-10003274,Regeneration Desk Collection,Furniture,5.28
OFF-BI-10002557,Presstex Flexible Ring Binders,Office Supplies,10.92
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,8.82
OFF-AR-10001427,Newell 330,Office Supplies,5.98
OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,11.648
OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,18.176
OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,59.712
OFF-LA-10002043,Avery 489,Office Supplies,24.84
OFF-BI-10004967,Round Ring Binders,Office Supplies,2.08
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Technology,1114.4
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,1038.84
OFF-PA-10000474,Staples,Office Supplies,141.76
TEC-AC-10001956,Microsoft Arc Touch Mouse,Technology,239.8
OFF-PA-10004100,Xerox 216,Office Supplies,31.104
OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Office Supplies,254.058
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,194.528
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,961.48
OFF-FA-10002983,Advantus SlideClip Paper Clips,Office Supplies,19.096
OFF-LA-10004689,Avery 512,Office Supplies,18.496
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,255.984
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,86.97
FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,300.416
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,230.352
FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,218.352
OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Office Supplies,78.6
OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Office Supplies,27.552
OFF-PA-10002105,Xerox 223,Office Supplies,32.4
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,1082.48
OFF-PA-10004243,Xerox 1939,Office Supplies,56.91
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,77.6
OFF-BI-10002706,Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,14.28
FUR-TA-10002533,BPI Conference Tables,Furniture,219.075
FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,26.8
OFF-AR-10003651,Newell 350,Office Supplies,9.84
OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,45.48
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,289.2
OFF-AR-10002804,Faber Castell Col-Erase Pencils,Office Supplies,4.89
FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,15.136
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,466.768
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,15.232
OFF-LA-10000634,Avery 509,Office Supplies,6.264
FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,87.54
TEC-PH-10002398,AT&T 1070 Corded Phone,Technology,178.384
OFF-PA-10001937,Xerox 21,Office Supplies,15.552
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,99.136
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,135.882
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,3991.98
TEC-PH-10004093,Panasonic Kx-TS550,Technology,275.94
TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,360
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,43.57
